Date,Open,High,Low,Close,Volume,Personal Saving %,Close/Last
2019-04-25,165.914734,166.513412,153.847,154.459396,6820332362,7.7,2926.17
2019-04-26,154.579437,158.029007,152.085678,156.347092,7505283355,7.7,2939.88
2019-04-29,157.291061,158.333923,153.186523,155.201996,6053776253,7.7,2943.03
2019-04-30,155.172775,162.432251,155.172775,162.166031,6275803460,7.7,2945.83
2019-05-01,162.186554,164.060684,159.660217,160.818344,5789172433,7.4,2923.73
2019-05-02,160.853577,162.937012,160.060699,162.122787,6044171062,7.4,2917.52
2019-05-03,162.075165,170.068741,161.080627,167.952408,7299410672,7.4,2945.64
2019-05-06,163.337982,175.760101,159.98819,172.653214,7540096853,7.4,2932.47
2019-05-07,172.427277,180.394409,169.694717,169.79866,8411140170,7.4,2884.05
2019-05-08,169.904205,172.183548,166.409241,170.948166,6416569598,7.4,2879.42
2019-05-09,170.951874,172.880402,167.247879,170.289307,6546914198,7.4,2870.72
2019-05-10,170.312973,175.885269,168.991425,173.142746,8036919053,7.4,2881.4
2019-05-13,187.417923,205.098267,185.305908,196.846283,10367149039,7.4,2811.87
2019-05-14,196.738281,217.874649,196.05481,217.148575,12751049755,7.4,2834.41
2019-05-15,217.010117,247.446594,216.822113,247.153061,13460006534,7.4,2850.96
2019-05-16,246.941956,275.39444,245.795288,264.01001,18661465873,7.4,2876.32
2019-05-17,263.848358,266.979614,227.767426,243.764587,16037551694,7.4,2859.53
2019-05-20,261.267487,261.55127,241.80365,251.86441,10834541285,7.4,2840.23
2019-05-21,251.647842,262.107544,248.196304,255.215881,11545049593,7.4,2864.36
2019-05-22,254.995316,258.801849,242.730484,244.698914,9818257463,7.4,2856.27
2019-05-23,244.665115,247.616638,233.793091,245.965668,10671663487,7.4,2822.24
2019-05-24,245.987091,255.259338,243.240097,249.484985,9929433206,7.4,2826.06
2019-05-28,272.590485,274.320831,267.514374,271.768707,10362846898,7.4,2802.39
2019-05-29,271.779053,273.756287,263.0914,269.455688,9819132174,7.4,2783.02
2019-05-30,269.55188,287.20163,247.348602,255.858948,13604268584,7.4,2788.86
2019-05-31,256.015259,268.659943,249.111847,268.113556,11255023515,7.4,2752.06
2019-06-03,270.088562,270.334106,251.262192,252.607925,9375712917,7.2,2744.45
2019-06-04,252.511642,252.511642,236.127213,241.338791,10132549747,7.2,2803.27
2019-06-05,241.49704,248.138138,239.983459,247.05101,8548917062,7.2,2826.15
2019-06-06,246.925247,249.944504,238.501114,249.474335,8265146806,7.2,2843.49
2019-06-07,249.335281,254.352295,246.5979,250.930359,8379534528,7.2,2873.34
2019-06-10,232.830139,247.66217,229.341766,247.520126,8141159848,7.2,2886.73
2019-06-11,247.862122,248.662582,239.825348,245.78183,7382269700,7.2,2885.72
2019-06-12,245.925491,261.017578,244.491318,260.90329,8645598618,7.2,2879.84
2019-06-13,260.913513,262.163116,255.596283,256.168793,8442077836,7.2,2891.64
2019-06-14,256.179657,265.371399,254.14743,264.087463,8676891267,7.2,2886.98
2019-06-17,269.090576,275.442566,268.35379,274.351105,6009795781,7.2,2889.67
2019-06-18,274.320251,274.320251,263.14444,265.051849,6205242504,7.2,2917.75
2019-06-19,265.056854,270.333374,264.754791,269.431793,5516510947,7.2,2926.46
2019-06-20,269.407867,274.073517,265.500458,271.695007,6408981097,7.2,2954.18
2019-06-21,271.743103,295.303314,271.743103,294.910278,9331694140,7.2,2950.46
2019-06-24,307.722137,312.329346,299.55954,310.424683,8205712062,7.2,2945.35
2019-06-25,310.678619,318.126312,307.643158,318.126312,9641764965,7.2,2917.38
2019-06-26,317.992584,361.398682,315.954865,336.753174,16437084081,7.2,2913.78
2019-06-27,336.9599,343.433441,278.573242,294.267639,14038092503,7.2,2924.92
2019-06-28,294.143036,313.031555,292.939819,311.226105,11514656820,7.2,2941.76
2019-07-01,290.268494,301.026154,280.022827,293.641113,10292223948,7.0,2964.33
2019-07-02,293.537262,295.655853,272.60257,291.596436,10618413952,7.0,2973.01
2019-07-03,291.764618,303.342041,291.401642,303.099976,9926711979,7.0,2995.82
2019-07-05,284.38092,293.921143,282.694702,287.997528,8723493015,7.0,2990.41
2019-07-08,305.734772,314.267883,303.500458,313.251404,9078905628,7.0,2975.95
2019-07-09,313.325165,318.223114,305.285828,308.881012,10055159803,7.0,2979.63
2019-07-10,308.851288,313.069458,285.565796,290.002319,11679985167,7.0,2993.07
2019-07-11,289.945984,290.021057,266.094666,268.704041,10216287022,7.0,2999.91
2019-07-12,268.692261,278.855591,268.000031,276.276703,8148936015,7.0,3013.77
2019-07-15,227.965057,235.02565,210.391266,229.776001,9723674244,7.0,3014.3
2019-07-16,229.748657,234.51384,197.377899,199.188675,9036620494,7.0,3004.04
2019-07-17,199.066788,217.975632,193.990417,211.48497,9387747640,7.0,2984.42
2019-07-18,211.444611,229.239395,208.037735,226.566162,9327816059,7.0,2995.11
2019-07-19,226.6577,226.940475,215.838242,221.33342,7606433131,7.0,2976.61
2019-07-22,225.698654,226.862579,213.44838,217.560013,6338843919,7.0,2985.03
2019-07-23,217.568466,218.518051,209.638123,212.728516,6976091534,7.0,3005.47
2019-07-24,212.553818,217.535431,203.893402,217.046371,7168982843,7.0,3019.56
2019-07-25,216.969116,224.254196,216.135147,219.617996,6731281160,7.0,3003.67
2019-07-26,219.628128,220.236389,214.125687,219.629608,5729852178,7.0,3025.86
2019-07-29,211.123657,213.932053,208.764313,211.268051,5485190664,7.0,3020.97
2019-07-30,211.339203,213.614075,206.867615,210.522598,5489918859,7.0,3013.18
2019-07-31,210.492416,218.654144,210.437912,218.654144,6003828340,7.0,2980.38
2019-08-01,218.554596,218.812653,212.914505,217.808441,5965442642,7.2,2953.56
2019-08-02,217.88446,222.182571,215.97583,217.871567,6159440229,7.2,2932.05
2019-08-05,222.650879,235.635284,222.603882,234.215027,7765060287,7.2,2844.74
2019-08-06,234.24559,239.115906,223.551178,226.020645,7647742672,7.2,2881.77
2019-08-07,225.925293,229.65657,222.775452,226.391006,7020342210,7.2,2883.98
2019-08-08,226.518478,226.774719,216.516251,220.941864,6713525644,7.2,2938.09
2019-08-09,220.908646,221.364334,208.245972,210.488907,6964818795,7.2,2918.65
2019-08-12,216.055908,216.142563,210.946487,211.288071,5674315559,7.2,2883.09
2019-08-13,211.342697,211.384415,205.422501,208.709045,5946313205,7.2,2926.32
