date,Day of Year,id,nlikes,nretweets,compound,neg,neu,pos
2019-06-08,159.0,1.1373972050177111e+18,2.673579427623393,1.256739941932808,0.1700841559518872,0.017265450020738284,0.9043280796350063,0.07841061800082953
2019-06-09,160.0,1.1377643010023885e+18,2.149407718761941,0.649980894153611,0.2018427206725258,0.016911348872755062,0.8990236912495223,0.08406763469621704
2019-06-10,161.0,1.1381199141730335e+18,1.963458110516934,0.7058823529411765,0.21005510992275697,0.01602346999405823,0.895712715389186,0.0882638146167558
2019-06-11,162.0,1.1384915523655512e+18,1.7735009164702802,0.4996072270227808,0.2621619272060749,0.011983765383608274,0.8915985860172819,0.09641738675045824
2019-06-12,163.0,1.1388432382655718e+18,1.9943308362016603,0.6284673010730917,0.3184126138894513,0.00978214213403523,0.883819801579267,0.10639643652561247
2019-06-13,164.0,1.1392097187891209e+18,1.6466990465911135,0.5150206871739521,0.350326425616118,0.009335851771901422,0.8786940097139773,0.11196869940636804
2019-06-14,165.0,1.1395538451947708e+18,1.7477495908346972,0.5570785597381342,0.3131886661211129,0.01397156301145663,0.8804191898527004,0.10561211129296236
2019-06-15,166.0,1.1399304729588785e+18,1.324496558756054,0.34437930155493246,0.3059331633953607,0.012334437930155493,0.8855452459852154,0.10211980627071118
2019-06-16,167.0,1.1402956822246196e+18,1.4489626556016597,0.6203319502074689,0.3539846680497925,0.009556639004149377,0.8794060165975104,0.11103713692946057
2019-06-17,168.0,1.140653117767851e+18,2.1200331125827816,0.6692880794701986,0.30952293046357615,0.011267384105960265,0.8834641970198677,0.10527028145695363
2019-06-18,169.0,1.1410158711121518e+18,2.621839813044402,0.9649458253664754,0.2661105587422987,0.012979392394306353,0.8919602719354154,0.09505608667941365
2019-06-19,170.0,1.1413788044326355e+18,2.4822826534816644,0.6812937783271529,0.2349507210548002,0.013186856201071281,0.90163123197363,0.08517799752781212
2019-06-20,171.0,1.1417468323150781e+18,1.8511947007333807,0.5192808138159452,0.21037674473621953,0.016401703335699076,0.9008582919328129,0.08274189732670925
2019-06-21,172.0,1.1421047628982153e+18,2.2679692951849266,0.5880437311002559,0.2140873226331705,0.020094207955338454,0.8900355896720167,0.08986578274017214
2019-06-22,173.0,1.1424677818974826e+18,1.6613157066414856,0.40541391249606545,0.19735127478753542,0.01645672017626692,0.9021762669184765,0.08136858671702864
2019-06-23,174.0,1.1428348557258779e+18,1.9790011350737797,0.565266742338252,0.19492426220204312,0.022215380249716234,0.8917548240635641,0.08603348467650397
2019-06-24,175.0,1.1431985843368742e+18,2.860612460401267,0.6945617740232313,0.20176539070749736,0.025961985216473072,0.8877893347412883,0.08626108764519536
2019-06-25,176.0,1.1435626969239913e+18,2.547995780590717,0.8106540084388185,0.18650809599156118,0.021185654008438817,0.8991458333333334,0.07967325949367088
2019-06-26,177.0,1.1439152346631668e+18,2.842835519677094,0.8968213925327951,0.1696430121089808,0.0219117053481332,0.9019180121089808,0.07617230070635722
2019-06-27,178.0,1.1442541024032421e+18,2.8683527885862516,1.3232814526588845,0.1680402399481193,0.023871271076523995,0.9024033722438393,0.0737298962386511
2019-06-29,180.0,1.1450613936454406e+18,2.0352644836272042,0.5113350125944585,0.15809304785894207,0.018366246851385392,0.9142846347607053,0.06735062972292191
2019-06-30,181.0,1.1453796618814652e+18,2.149982800137599,0.7471620227038184,0.16616904024767803,0.018003095975232197,0.9111310629514964,0.07086480908152734
2019-07-01,182.0,1.1457283491777052e+18,2.591654676258993,1.0031654676258992,0.16513643165467626,0.021737841726618707,0.9057899280575539,0.07247539568345324
2019-07-02,183.0,1.1460874278231871e+18,2.379624192601292,2.1911332941867294,0.14596359365825015,0.02364386376981797,0.9082630651790957,0.0680916030534351
2019-07-03,184.0,1.1464509332052192e+18,2.523325358851675,0.7186004784688995,0.16059156698564592,0.021744617224880382,0.9069814593301435,0.07127661483253588
2019-07-04,185.0,1.1468146721568436e+18,3.208689927583937,1.7551020408163265,0.16273568136932193,0.02354707044107966,0.9020497037524687,0.07440618828176432
2019-07-05,186.0,1.1471826604446081e+18,3.1500170473917493,0.7476986021138766,0.16219771564950564,0.022968973747016706,0.9058414592567338,0.07118854415274463
